점포명,시도명,시군구명,시군구코드,소재지도로명주소,소재지지번주소,위도,경도,여성안심지킴이집전화번호,관할경찰서명,지정연도,운영여부,데이터기준일자,제공기관코드,제공기관명
CU 유탑유블레스,전라남도,무안군,46840,전라남도 무안군 삼향읍 후광대로 330,전라남도 무안군 삼향읍 남악리 1476,34.8140375,126.4677979,061-284-5280,남악지구대,2016,Y,2026-05-06,4950000,전라남도 무안군
CU 무안현경점,전라남도,무안군,46840,전라남도 무안군 현경면 현해로 83,전라남도 무안군 현경면 외반리 556-7,35.020911,126.4120713,061-452-0244,현경파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
CU 무안낙지골목점,전라남도,무안군,46840,전라남도 무안군 무안읍 무안로 491,전라남도 무안군 무안읍 성남리 276,34.987505,126.4779592,061-454-2213,승달파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
CU 목포대하늘점,전라남도,무안군,46840,전라남도 무안군 청계면 승달산길 41,전라남도 무안군 청계면 도림리 311-11,34.91044878,126.4338622,061-453-5374,청계파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
CU 목포대점,전라남도,무안군,46840,전라남도 무안군 청계면 도림길 87-23,전라남도 무안군 청계면 도림리 325-1,34.909393,126.4335042,061-453-7556,청계파출소,2016,Y,2026-05-06,4950000,전라남도 무안군
유탑세븐일래븐,전라남도,무안군,46840,전라남도 무안군 삼향읍 후광대로 330,전라남도 무안군 삼향읍 남악리 1476,34.814096,126.4677979,061-282-7737,남악지구대,2022,Y,2026-05-06,4950000,전라남도 무안군
세븐일레븐노원제일점 B,서울특별시,노원구,11350,서울특별시 노원구 동일로1417,,37.65506998,127.0599384,02-934-9102,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
세븐일레븐노원역,서울특별시,노원구,11350,서울특별시 노원구 동일로217가길 11,,37.6534006,127.0598701,02-930-4880,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
세븐일레븐광운대후문,서울특별시,노원구,11350,서울특별시 노원구 석계로13길 48,,37.6212056,127.0610833,070-8844-0864,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
세븐일레븐노원중앙점 B,서울특별시,노원구,11350,서울특별시 노원구 노해로 85길 10-2,,37.65584919,127.0653269,02-930-8431,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
세븐일레븐중계은행,서울특별시,노원구,11350,서울특별시 노원구 중계로220,,37.6508341,127.075668,02-930-2301,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
세븐일레븐상계4호점,서울특별시,노원구,11350,서울특별시 노원구 동일로217가길 23,,37.6532418,127.0590584,02-937-5907,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
세븐일레븐공릉점,서울특별시,노원구,11350,서울특별시 노원구 공릉로101,,37.61930125,127.0778185,02-971-0831,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU노원상계중앙,서울특별시,노원구,11350,서울특별시 노원구 동일로238길 26,,37.67412184,127.0569034,02-935-8984,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU하계대진점,서울특별시,노원구,11350,서울특별시 노원구 공릉로58길149(하계동),,37.636735,127.076198,02-948-1018,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU서울여대후문,서울특별시,노원구,11350,서울특별시 노원구 화랑로51길 18,,37.6239499,127.0896879,02-976-5992,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU중계주공,서울특별시,노원구,11350,서울특별시 노원구 한글비석로8길 41,,37.64866273,127.0775979,02-937-9634,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU공릉마중,서울특별시,노원구,11350,서울특별시 노원구 동일로183길 9,,37.623019,127.0731103,02-977-4007,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU공릉건설,서울특별시,노원구,11350,서울특별시 노원구 공릉로 187,,37.6264058,127.0786623,02-972-8285,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU상계현대,서울특별시,노원구,11350,서울특별시 노원구 덕릉로118길 17,,37.66778003,127.0798354,02-938-3579,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU상계계상,서울특별시,노원구,11350,서울특별시 노원구 한글비석로41가길 1,,37.661949,127.0684283,02-935-5517,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
GS25노원수락산역,서울특별시,노원구,11350,서울특별시 노원구 동일로242가길 16,,37.67657347,127.0560173,02-932-5511,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
GS25중계8단지,서울특별시,노원구,11350,서울특별시 노원구 한글비석로5길 62 상가동 105호,,37.64637138,127.0749597,02-951-0871,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
GS25월계성원,서울특별시,노원구,11350,"서울특별시 노원구 마들로 3길37,104",,37.62860841,127.0627957,02-979-4379,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
GS25상계으뜸,서울특별시,노원구,11350,서울특별시 노원구 노원로28길 73,,37.65501704,127.0709472,02-935-8984,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
GS25노원아이파크,서울특별시,노원구,11350,"서울특별시 노원구 상계로23다길 13-8, 101동 118,119호",,37.65983293,127.0691688,02-931-1386,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
GS25월계주공,서울특별시,노원구,11350,서울특별시 노원구 월계로45길 28,,37.62684097,127.0509722,02-904-2072,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
GS25상계현대,서울특별시,노원구,11350,서울특별시 노원구 동일로 237길 46 1층,,37.6736192,127.0528328,02-935-8984,노원경찰서,,Y,2026-04-14,3100000,서울특별시 노원구
CU화순한양점,전라남도,화순군,46790,전라남도 화순군 화순읍 쌍충로 13-20,,35.05372758,126.9784264,,화순경찰서,2022,Y,2026-01-19,4900000,전라남도 화순군
CU화순군청점,전라남도,화순군,46790,전라남도 화순군 화순읍 진각로 144,,35.06377744,126.9872547,,화순경찰서,2022,Y,2026-01-19,4900000,전라남도 화순군
CU편의점성심점,전라남도,화순군,46790,전라남도 화순군 화순읍 만연로 28,,35.05813386,126.990388,,화순경찰서,2021,Y,2026-01-19,4900000,전라남도 화순군
CU편의점만연점,전라남도,화순군,46790,전라남도 화순군 화순읍 서양로 470,,35.06847465,126.989775,,화순경찰서,2021,Y,2026-01-19,4900000,전라남도 화순군
CU편의점중앙점,전라남도,화순군,46790,전라남도 화순군 화순읍 중앙로 92,,35.06027344,126.991451,,화순경찰서,2021,Y,2026-01-19,4900000,전라남도 화순군
세븐일레븐 제일점,전라남도,화순군,46790,전라남도 화순군 화순읍 일심1길 3,,35.05563064,126.992849,,화순경찰서,2021,Y,2026-01-19,4900000,전라남도 화순군
세븐일레븐 사당남성점,서울특별시,동작구,11590,서울특별시 동작구 사당로14길 30,서울특별시 동작구 사당동 272-38,37.48301957,126.9711499,02-588-4286,사당지구대,,Y,2026-02-27,3190000,서울특별시 동작구
세븐일레븐 동작대리점,서울특별시,동작구,11590,서울특별시 동작구 사당로 56,서울특별시 동작구 상도동 509-2,37.49457509,126.9605651,,상도지구대,,Y,2026-02-27,3190000,서울특별시 동작구
cu 상도역점,서울특별시,동작구,11590,서울특별시 동작구 상도로 266,서울특별시 동작구 상도1동 705,37.50345768,126.9472272,02-824-6291,상도지구대,,Y,2026-02-27,3190000,서울특별시 동작구
세븐일레븐 대방성남점,서울특별시,동작구,11590,서울특별시 동작구 대방동길 71,서울특별시 동작구 대방동 376-5,37.50445617,126.9251902,02-812-7573,노량진지구대,2017,Y,2026-02-27,3190000,서울특별시 동작구
세븐일레븐 보라매점,서울특별시,동작구,11590,서울특별시 동작구 보라매로5가길 16,서울특별시 동작구 신대방동 395-69,37.4912751,126.9240947,02-833-2460,대방파출소,2016,Y,2026-02-27,3190000,서울특별시 동작구
세븐일레븐 대방점,서울특별시,동작구,11590,서울특별시 동작구 등용로 119,서울특별시 동작구 대방동 37-2,37.51176046,126.9317706,02-815-8373,노량진지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
미니스톱 대방점,서울특별시,동작구,11590,서울특별시 동작구 상도로 69,서울특별시 동작구 대방동 393-65,37.49996051,126.928376,02-823-8148,노량진지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
gs25 동작역점,서울특별시,동작구,11590,"서울특별시 동작구 현충로 257,431-02호",서울특별시 동작구 동작동 327-1,37.50287037,126.9802684,080-855-5525,흑석지구대,2017,Y,2026-02-27,3190000,서울특별시 동작구
gs25 동작우체국,서울특별시,동작구,11590,서울특별시 동작구 여의대방로 22길78,서울특별시 동작구 신대방동 361-55,37.49770626,126.9242937,02-3280-0196,대방파출소,2016,Y,2026-02-27,3190000,서울특별시 동작구
cu 사당갯마을점,서울특별시,동작구,11590,서울특별시 동작구 동작대로43길 1,서울특별시 동작구 동작동 102-31,37.49638822,126.9823299,02-595-7435,남성지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
세븐일레븐 상도한마을점,서울특별시,동작구,11590,서울특별시 동작구 성대로 32,서울특별시 동작구 상도동 312-1,37.49916647,126.9330231,02-813-2079,대방파출소,2016,Y,2026-02-27,3190000,서울특별시 동작구
세븐일레븐 리버파크점,서울특별시,동작구,11590,서울특별시 동작구 만양로 19,서울특별시 동작구 노량진동 325-4,37.50707255,126.9457185,02-812-2394,상도지구대,2017,Y,2026-02-27,3190000,서울특별시 동작구
cu 상도약수점,서울특별시,동작구,11590,서울특별시 동작구 양녕로28길 4,서울특별시 동작구 상도동 211-225,37.49905332,126.9443329,02-812-3377,대방파출소,2016,Y,2026-02-27,3190000,서울특별시 동작구
cu  상도삼성점,서울특별시,동작구,11590,서울특별시 동작구 등용로 37,서울특별시 동작구 상도동 456,37.50523976,126.9331339,02-825-2229,상도지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
세븐일레븐 노량진역점,서울특별시,동작구,11590,서울특별시 동작구 노량진로14길 4,서울특별시 동작구 노량진동 59-44,37.51331419,126.9419624,02-812-5794,노량진지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
cu 동작구청점,서울특별시,동작구,11590,서울특별시 동작구 노량진로8길 54,서울특별시 동작구 노량진동 244-67,37.5122358,126.9382785,02-823-7889,노량진지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
cu 동작구청2호점,서울특별시,동작구,11590,서울특별시 동작구 노량진로8길 72,서울특별시 동작구 노량진동 244-12,37.51186226,126.9389931,02-813-4556,노량진지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
cu 노량진중심점,서울특별시,동작구,11590,서울특별시 동작구 장승배기로 122,서울특별시 동작구 노량진동 231-112,37.50849609,126.9403779,070-7788-2481,노량진지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
씨스페이스 흑석중앙대점,서울특별시,동작구,11590,서울특별시 동작구 서달로14가길 1,서울특별시 동작구 흑석동 52-1,37.50766357,126.9631272,02-825-6553,흑석지구대,,Y,2026-02-27,3190000,서울특별시 동작구
세븐일레븐 사당동작점,서울특별시,동작구,11590,서울특별시 동작구 동작대로35다길 22,서울특별시 동작구 사당동 67-6,37.49225013,126.9792885,,남성지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
미니스톱 사당점,서울특별시,동작구,11590,서울특별시 동작구 동작대로7길 12,서울특별시 동작구 사당동 1030-10,37.47998235,126.9808621,02-582-8316,사당지구대,2014,Y,2026-02-27,3190000,서울특별시 동작구
CU 신촌제일점,서울특별시,서대문구,11410,서울특별시 서대문구 연세로11길 39,서울특별시 서대문구 창천동 53-73,37.55895536,126.9346653,02-323-9267,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
CU 연희푸르지오점,서울특별시,서대문구,11410,서울특별시 서대문구 연희로 38,서울특별시 서대문구 연희동 353-89,37.56205932,126.9276484344,02-322-5895,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
GS25 창천휘가로점,서울특별시,서대문구,11410,서울특별시 서대문구 연희로2안길 7-29,서울특별시 서대문구 창천동 417,37.5598001806,126.9278484,02-323-2501,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
GS25 서대문창천점,서울특별시,서대문구,11410,서울특별시 서대문구 신촌로 3,서울특별시 서대문구 창천동 510-4,37.55871513,126.9275026,02-322-2506,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
세븐일레븐 신촌제일점,서울특별시,서대문구,11410,서울특별시 서대문구 신촌로11길 15,서울특별시 서대문구 창천동 111-15,37.55739153,126.9328552,02-6015-0043,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
emart24 신촌빌리지점,서울특별시,서대문구,11410,서울특별시 서대문구 신촌로11길 39,서울특별시 서대문구 창천동 67-6,37.55844276,126.9333796,02-332-6303,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
세븐일레븐 신촌원룸점,서울특별시,서대문구,11410,서울특별시 서대문구 성산로22길 22,서울특별시 서대문구 창천동 89-27,37.55988238,126.9340484,02-1577-0711,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
세븐일레븐 이대역점,서울특별시,서대문구,11410,서울특별시 서대문구 이화여대길 7,서울특별시 서대문구 대현동 40-4,37.55725119,126.945642,070-8848-9983,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
GS25 연대동문점,서울특별시,서대문구,11410,서울특별시 서대문구 봉원사길 6,서울특별시 서대문구 대신동 125-27,37.56699207,126.9467524,02-392-9225,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
CU 연세동문점,서울특별시,서대문구,11410,서울특별시 서대문구 연대동문길 26,서울특별시 서대문구 대신동 50-1,37.56358512,126.9438075,02-365-6914,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
GS25 연대2점,서울특별시,서대문구,11410,서울특별시 서대문구 연세로9길 8,서울특별시 서대문구 창천동 33-14,37.55857771,126.9364521,02-392-9225,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
GS25 신촌연세점,서울특별시,서대문구,11410,서울특별시 서대문구 연세로11길 16,서울특별시 서대문구 창천동 52-150,37.55903448,126.9358934,02-325-8256,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
GS25 북가좌은가점,서울특별시,서대문구,11410,서울특별시 서대문구 증가로12나길 101,서울특별시 서대문구 북가좌동 3-15,37.58271266,126.9198566,02-302-1474,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
GS25 북가좌제일점,서울특별시,서대문구,11410,서울특별시 서대문구 거북골로 170,서울특별시 서대문구 북가좌동 424-53,37.57665802,126.9114653,02-373-1963,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
CU 북가좌증산교점,서울특별시,서대문구,11410,서울특별시 서대문구 증가로 264,서울특별시 서대문구 북가좌동 342-14,37.58407849,126.9111953,02-376-7267,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
emart24 연희햇살점,서울특별시,서대문구,11410,서울특별시 서대문구 가좌로 31,서울특별시 서대문구 연희동 719-7,37.57724755,126.9320035,02-3143-0804,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
CU 연희영웅점,서울특별시,서대문구,11410,서울특별시 서대문구 연희맛로 38,서울특별시 서대문구 연희동 134-28,37.56817729,126.9311672,02-3143-6338,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
CU 연희삼거리점,서울특별시,서대문구,11410,서울특별시 서대문구 연희로 126,서울특별시 서대문구 연희동 88-13,37.56876238,126.9326928,,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
CU 독립문극동점,서울특별시,서대문구,11410,서울특별시 서대문구 독립문공원길 17,서울특별시 서대문구 현저동 200,37.57238119,126.9551984,02-365-5792,서대문경찰서,,Y,2026-03-31,3120000,서울특별시 서대문구
GS25 번동힐점,서울특별시,강북구,11305,서울특별시 강북구 오현로 165-3,서울특별시 강북구 번동 148-131,37.62716437,127.0371176,080-999-5425,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 번동리치점,서울특별시,강북구,11305,서울특별시 강북구 오현로25라길 34,서울특별시 강북구 번동 148-459,37.62731542,127.0352022,1577-0711,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
이마트24 번동중앙점,서울특별시,강북구,11305,서울특별시 강북구 도봉로102길 64,서울특별시 강북구 번동 471-14,37.64044256,127.0329184,02-550-6387,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
GS25 수유혜화점,서울특별시,강북구,11305,서울특별시 강북구 인수봉로 135,서울특별시 강북구 수유동 468-48,37.6317815,127.0135193,02-000-0000,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
CU 수유삼양점,서울특별시,강북구,11305,서울특별시 강북구 삼양로80나길 69,서울특별시 강북구 수유동 48-74,37.63407736,127.0208874,02-000-0000,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
GS25 강북동수점,서울특별시,강북구,11305,서울특별시 강북구 한천로148길 13,서울특별시 강북구 수유동 181-49,37.64283639,127.0242173,02-997-8807,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
GS25 신미아역점,서울특별시,강북구,11305,서울특별시 강북구 솔매로 124,서울특별시 강북구 미아동 304-20,37.62603107,127.0257392,02-989-7904,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 미아성우점,서울특별시,강북구,11305,서울특별시 강북구 삼양로24길 19,서울특별시 강북구 미아동 561-2,37.61745082,127.0219965,02-945-1096,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유본점,서울특별시,강북구,11305,서울특별시 강북구 도봉로71가길 45,서울특별시 강북구 수유동 50-1,37.6333349,127.0218165,02-986-3917,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유빨래골점,서울특별시,강북구,11305,서울특별시 강북구 삼양로73길 36,서울특별시 강북구 수유동 475-3,37.63070118,127.0168589,02-945-6012,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유도봉로점,서울특별시,강북구,11305,서울특별시 강북구 도봉로 388,서울특별시 강북구 번동 464-1,37.64135773,127.0296311,02-904-1890,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유제일점,서울특별시,강북구,11305,서울특별시 강북구 도봉로76길 11,서울특별시 강북구 미아동 162-48,37.63303382,127.0243686,02-986-3235,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유점,서울특별시,강북구,11305,서울특별시 강북구 덕릉로 75,서울특별시 강북구 수유동 47-4,37.63482544,127.0220395,02-999-0614,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유으뜸점,서울특별시,강북구,11305,서울특별시 강북구 도봉로 280,서울특별시 강북구 미아동 160-13,37.63338336,127.0237327,02-989-5659,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유래미안점,서울특별시,강북구,11305,서울특별시 강북구 한천로 1121,서울특별시 강북구 수유동 730,37.64488206,127.0194886,02-986-9224,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
GS25 강북최고점,서울특별시,강북구,11305,서울특별시 강북구 덕릉로40길 18,서울특별시 강북구 번동 526-13,37.63431544,127.0303588,02-986-9224,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 미아래미안점,서울특별시,강북구,11305,서울특별시 강북구 삼양로19길 25,서울특별시 강북구 미아동 813,37.61569586,127.0211397,02-945-5915,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유인텔리안점,서울특별시,강북구,11305,서울특별시 강북구 도봉로 313,서울특별시 강북구 수유동 230-7,37.63643974,127.0234734,02-900-7838,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유로데오점,서울특별시,강북구,11305,서울특별시 강북구 노해로 38,서울특별시 강북구 수유동 223-1,37.63892292,127.0231039,1577-0711,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유대한점,서울특별시,강북구,11305,서울특별시 강북구 수유로 79,서울특별시 강북구 수유동 1-60,37.63635715,127.0222761,1577-0711,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 수유사랑점,서울특별시,강북구,11305,서울특별시 강북구 오패산로77길 17,서울특별시 강북구 번동 447-51,37.63670593,127.0258185,1577-0711,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
GS25 번동주공점,서울특별시,강북구,11305,서울특별시 강북구 한천로109길 13,서울특별시 강북구 번동 269-2,37.62832312,127.0432327,02-998-8807,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
GS25 수유광산점,서울특별시,강북구,11305,서울특별시 강북구 노해로27길 21,서울특별시 강북구 수유동 252-40,37.64529112,127.0224126,02-998-5684,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
GS25 수유우이점,서울특별시,강북구,11305,서울특별시 강북구 삼양로93길 23,서울특별시 강북구 수유동 409,37.63783616,127.0158415,02-6212-7221,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
CU 미아동부점,서울특별시,강북구,11305,서울특별시 강북구 도봉로13길 58,서울특별시 강북구 미아동 450-64,37.61512511,127.0270114,02-980-2998,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
CU 수유행복점,서울특별시,강북구,11305,서울특별시 강북구 4.19로1길 16,서울특별시 강북구 수유동 281-40,37.64730169,127.0133935,02-900-5571,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
CU 수유번동점,서울특별시,강북구,11305,서울특별시 강북구 한천로132길 10,서울특별시 강북구 번동 461-80,37.63942624,127.0287221,02-997-9648,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
CU 번동센트로힐점,서울특별시,강북구,11305,서울특별시 강북구 한천로 936,서울특별시 강북구 번동 761,37.63467233,127.0361184,02-990-0424,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
CU 미아창문점,서울특별시,강북구,11305,서울특별시 강북구 월계로 83,서울특별시 강북구 미아동 8-144,37.61381761,127.0378674,02-981-0684,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
CU 미아삼양점,서울특별시,강북구,11305,서울특별시 강북구 솔샘로 231,서울특별시 강북구 미아동 838-8,37.62019851,127.0183771,02-989-3700,서울강북경찰서,,Y,2026-03-24,3080000,서울특별시 강북구
세븐일레븐 상봉2점,서울특별시,중랑구,11260,서울특별시 중랑구 망우로50길 25,서울특별시 중랑구 상봉동 89-7,37.5959385,127.0893362,02-434-7485,서울중랑경찰서,,Y,2026-02-27,3060000,서울특별시 중랑구
